,total tweets,travel tweets,population,income
Bayswater - Bassendean,6237,389,67.9,63363
Hobart - North West,3195,279,63.7,47153
Meander Valley - West Tamar,987,53,60.6,46713
Litchfield,580,38,74.3,71466
Belconnen,6758,681,67.2,66149
North Canberra,18948,5337,76.3,76050
Armidale,2638,203,64.2,49768
Wagga Wagga,5721,179,62.6,56145
Blacktown - North,4656,186,68.1,64616
Kogarah - Rockdale,10431,724,69.4,57117
Liverpool,6699,220,66.6,56080
Wellington,1675,125,62.0,53654
Whitehorse - West,12678,363,67.9,62240
Nillumbik - Kinglake,5899,265,66.9,67470
Keilor,7202,247,62.1,63121
Dandenong,21102,469,67.3,45640
Mildura,2900,146,62.5,47691
Capalaba,6033,405,65.9,61197
Whitsunday,6880,952,69.8,52882
Caboolture,2863,518,63.8,47529
Noosa Hinterland,1540,107,61.7,50284
Port Adelaide - East,2647,111,67.6,50552
Tea Tree Gully,4050,324,64.0,54367
Charles Sturt,11900,1304,65.5,56533
Kalamunda,2079,122,63.9,65873
Kwinana,1676,79,68.4,61923
Mid West,2149,206,63.9,62224
Burnie - Ulverstone,1386,88,61.3,50433
East Arnhem,440,26,69.1,70415
Tuggeranong,3279,485,67.7,67657
Jervis Bay,368,77,74.8,56112
Kiama - Shellharbour,4973,592,62.6,57738
Mount Druitt,6002,230,65.7,51401
Canterbury,8090,245,67.0,49544
Blue Mountains,11587,1108,62.0,59516
Nathan,2889,157,69.6,60849
Rocklea - Acacia Ridge,3233,303,68.6,53415
Kenmore - Brookfield - Moggill,2712,211,63.0,83019
Cairns - North,4644,401,67.4,60677
Cairns - South,11029,777,66.6,53204
Rockhampton,5924,297,63.9,60048
Sunshine Coast Hinterland,5023,536,61.5,50582
Nambour,2055,125,62.0,50760
Armadale,2100,111,66.2,61490
Cockburn,5409,349,68.1,67630
Gascoyne,1573,166,65.9,59050
Huon - Bruny Island,1962,181,61.3,46250
Barkly,467,44,68.7,56279
Broken Hill and Far West,1040,68,62.1,57126
Lower Hunter,11396,887,63.7,59475
Tamworth - Gunnedah,5452,424,60.8,52625
Richmond Valley - Hinterland,4534,429,62.0,45017
Merrylands - Guildford,5481,400,66.2,49662
Maryborough - Pyrenees,2222,38,58.5,42704
Banyule,14404,551,64.5,65720
Brimbank,14565,364,68.3,47827
Campaspe,2242,97,59.2,45400
